From,Index
14-3-3-zeta,1
4EBP1,2
A20,3
ABIN2,4
ADD1,5
AIP4,6
AKT1,7
AKT2,8
AML1,9
ANAPC10,10
ANAPC5,11
AP2,12
AP2B1,13
APC,14
APH1A,15
APH2,16
APP,17
APPL2,18
ARA160,19
ARA54,20
ARA55,21
ARA70,22
ARAF1,23
ARF4,24
ARNIP,25
ARRB1,26
ATF1,27
ATF3,28
BAD,29
BAG1,30
BP75,31
BPAG1,32
BTK,33
BTRC,34
BTRC2,35
CALR,36
CAMK2D,37
CAPN3,38
CASP3,39
CASP7,40
CASP9,41
CAV1,42
CBLB,43
CCNA2,44
CCNB1,45
CCNH,46
CD44,47
CDC16,48
CDC2,49
CDC23,50
CDC27,51
CDC42,52
CDH1,53
CDK2,54
CDK6,55
CDK7,56
CDK9,57
CDKN1A,58
CEACAM1,59
CIAP1,60
CIN85,61
CIR,62
CK2B,63
CLTC,64
CREB,65
CREBBP,66
CRK,67
CRKL,68
CRM1,69
CSK,70
CSNK1D,71
CSNK1E,72
CTBP1,73
CTBP2,74
CTCF,75
CTNNB1,76
CTNND1,77
CUL1,78
CYLD,79
DAAM1,80
DAB2,81
DAXX,82
DCP1A,83
DDEF1,84
DDX3,85
DSP,86
E2F4,87
E3B1,88
EBP1,89
EF1A,90
EGFR,91
EIF3S2,92
EIF4E,93
ELK1,94
ENG,95
EPS8,96
ERK2,97
ERT,98
ETS1,99
FANCD2,100
FBL,101
FBXW7,102
FES,103
FHL1,104
FKBP12,105
FOS,106
FOSB,107
FOXO1A,108
FRAP1,109
FYN,110
FZD6,111
FZD7,112
G3BP2,113
GAPDH,114
GLI2,115
GP130,116
GRB2,117
GRIM19,118
GSK3B,119
HAT1,120
HBO1,121
HDAC2,122
HDAC6,123
HES1,124
HNF4A,125
HSP90A,126
HSP90B,127
HSPA8,128
ID1,129
ID2,130
ID3,131
ID4,132
IKBA,133
IKBKAP,134
IKKB,135
IQGAP2,136
ITGB4BP,137
ITRAF,138
JAG1,139
JAK1,140
JAK2,141
JUNB,142
JUND,143
KPNA2,144
KPNA3,145
KPNB1,146
KRT17,147
KRT18,148
KRT7,149
KRT8,150
KTN1,151
LAMR1,152
LEF1,153
MAGI3,154
MAIL,155
MAPK14,156
MCC,157
MCM5,158
MCM7,159
MEF2A,160
MEK1,161
MIG6,162
MKP1,163
MTIF2,164
MUPP1,165
MYC,166
NCK,167
NCOA2,168
NCOR1,169
NFKB1,170
NFYB,171
NIK,172
NKIRAS1,173
NLK,174
NOTCH2,175
NOTCH3,176
NR0B2,177
NR3C1,178
NRAS,179
NUMB,180
NUP153,181
NUP214,182
OTF1,183
PAF53,184
PAPOLA,185
PARD3,186
PATZ,187
PFDN2,188
PIAS1,189
PIK3R1,190
PIK3R2,191
PKN2,192
PLD1,193
POFUT1,194
POLR1B,195
POLR1D,196
POLR2H,197
POLR2L,198
PPP2CA,199
PRKAR1A,200
PRKCI,201
PSEN1,202
PSMB5,203
PSMC1,204
PSMC2,205
PSMC3,206
PSMD1,207
PSMD12,208
PSMD13,209
PSMD7,210
PTK2,211
PTPN12,212
PXN,213
PYK2,214
RAB23,215
RAB5,216
RAC1,217
RACK1,218
RAI,219
RALBP1,220
RALGDS,221
RAN,222
RANBP9,223
RAP30,224
RAP74,225
RBBP7,226
RBL2,227
RBPSUH,228
RBX1,229
RELA,230
REPS1,231
REPS2,232
REQ,233
RHOA,234
RKIP,235
RNF4,236
RPA5,237
RPL30,238
RPL4,239
RPL6,240
RPL8,241
RPS11,242
RPS13,243
RSK2,244
SAP18,245
SDC2,246
SHC1,247
SHOC2,248
SHP2,249
SIN3A,250
SKP1,251
SKP2,252
SMAD2,253
SMAD4,254
SMARCA4,255
SMARCB1,256
SMARCC1,257
SMARCC2,258
SNIP1,259
SNRPD2,260
SNW1,261
SNX2,262
SNX4,263
SNX6,264
SOCS3,265
SOCS5,266
SP1,267
SPEN,268
STAT1,269
STAT3,270
SUMO1,271
SUMO2,272
SVIL,273
TAB2,274
TBP,275
TCF3,276
TCF8,277
TGFBR2,278
TGFBR3,279
TIEG2,280
TIP60,281
TP53,282
TPL2,283
TRAF4,284
TRIP,285
TVL1,286
UBC9,287
UBCH5B,288
UBCH5C,289
UBE2D1,290
UBE2E1,291
UBE2L3,292
UBE3A,293
UNC5CL,294
USP9,295
UXT,296
VIM,297
WASL,298
YES,299
YY1,300
ZIN,301
ZNF216,302
