BONE,BREAST,LIVER,KIDNEY,COLON
ABCB1,ABCB1,ABCG2,ABCB1,AKT1
AC005076,ABCG2,AFP,ABCG2,ALB
AC005280,AHR,AKT1,ACE,ANXA5
ACP5,AKT1,ALB,AFP,APC
AKT1,AR,ANXA5,AKT1,ATM
AR,ATM,BCL2L1,ALB,AXIN1
BBS9,AURKA,CASP3,AMACR,BCL2L1
BCL2,BARD1,CASP8,ANXA5,BRCA1
BIRC5,BCL2,CASP9,AR,CASP3
BMP2,BIRC5,CCL2,BCL2L1,CASP8
BMP4,BRCA1,CCND1,BRCA1,CASP9
BMP6,BRCA2,CD274,CA9,CCL2
BMP7,BRIP1,CD34,CASP3,CCNB1
BMPR1A,CASP8,CD4,CCL2,CCND1
BMPR1B,CAV1,CD44,CCND1,CD274
BMPR2,CCND1,CD8A,CD274,CD34
BRAF,CD274,CDH1,CD34,CD4
C22orf23,CD44,CDH2,CD4,CD44
C5orf52,CDH1,CDK2,CD44,CD8A
CCL2,CDKN1A,CDK4,CD8A,CDH1
CCND1,CDKN1B,CDKN1A,CDH1,CDH2
CD274,CDKN2A,CDKN2A,CDH2,CDK2
CD44,CHEK2,CEACAM5,CDKN2A,CDK4
CDC73,COMT,CHGA,CEACAM5,CDKN1A
CDKN2A,CTNNB1,CRP,CRP,CDKN2A
CTNNB1,CXCL12,CSF2,CSF2,CDX2
CXCL12,CXCL8,CTNNB1,CTNNB1,CEACAM5
CXCR4,CXCR4,CXCL8,CXCL8,CRP
DKK1,CYP17A1,CXCR4,CXCR4,CSF2
EDF1,CYP19A1,CYCS,CYCS,CTNNB1
EGFR,CYP1A1,CYP1A1,EGF,CXCL8
ERBB2,CYP1B1,CYP2E1,EGFR,CYCS
ESR1,CYP2D6,CYP3A4,ENO2,DDX53
ETV6,EGFR,EGF,ENSP00000277541,DNTT
EWSR1,ERBB2,EGFR,ENSP00000303939,EGF
EZH2,ERBB3,ENSP00000277541,ENSP00000349960,EGFR
EZR,ERCC2,ENSP00000303939,ENSP00000387760,ENSP00000268035
FAM135A,ESR1,ENSP00000349960,ENSP00000452780,ENSP00000277541
FANCD2,ESR2,ENSP00000478570,ENSP00000478570,ENSP00000303939
FGF2,EZH2,ENSP00000479618,ENSP00000479618,ENSP00000344192
FLI1,FGFR2,EPCAM,EPO,ENSP00000349960
FLT3,FOXA1,ERBB2,ERBB2,ENSP00000478570
GDF2,GATA3,ESR1,ESR1,ENSP00000479618
GLI2,GNG8,F2,FGF2,EPCAM
GREM1,GPER1,FGF2,FLCN,ERBB2
HIF1A,GSTM1,FN1,FLT1,ESR1
IBSP,GSTP1,FOS,FN1,FGF2
IDH1,GSTT1,GAPDH,FOXP3,FN1
IDS,HIF1A,GCG,GAPDH,FOS
IGF1,IDS,GPC3,GPT,FOXP3
IGF1R,IGF1,GPT,HGF,GAPDH
IL6,IGF1R,GSTP1,HIF1A,GAST
ITGB1,IGFBP3,HGF,HRAS,HIF1A
JAK2,IL6,HIF1A,IFNA1,HNF4A
KIT,ITGB1,HNF4A,IFNG,HRAS
KMT2A,KRAS,HPGDS,IGF1,IFNG
KRAS,LEP,HRAS,IGF2,IGF1
LINC01589,MAPK1,IFNA1,IL10,IGF2
LINC01858,MDM2,IFNG,IL1B,IL10
MAGEE2,MET,IGF1,IL2,IL1B
MDM2,MIR21,IGF2,IL4,IL2
MET,MIR4799,IL10,IL6,IL4
MIR21,MKI67,IL1B,INS,IL6
MIR513C,MMP2,IL2,JUN,INS
MMP2,MMP9,IL4,KDR,ITGAM
MMP9,MTHFR,IL6,KIT,JUN
MPL,MTOR,INS,KLK3,KDR
MTOR,MUC1,ITGAM,KRAS,KIT
MYC,MYC,JUN,KRT7,KRAS
NCOR1,NBN,KDR,MAP2K7,KRT7
NEXN,NCOA3,KIT,MAPK3,LGR5
NFKB1,NFKB1,KRAS,MET,MAP2K7
NOTCH1,NOTCH1,KRT19,MME,MAPK3
NPM1,PALB2,KRT7,MMP2,MDM2
PLA2R1,PARP1,LEP,MMP9,MLH1
PTEN,PGR,MAP2K7,MTOR,MMP2
PTGS2,PIK3CA,MAPK3,NCAM1,MMP7
PTHLH,PPARG,MET,PAX2,MMP9
RUNX1,PTEN,MMP2,PAX8,MSH2
RUNX2,PTGS2,MMP9,PBRM1,MSH6
SIRT6,PTK2,MTOR,PDCD1,MTOR
SMAD1,RAD51,NCAM1,PDPN,MUC1
SMAD4,RB1,PECAM1,PECAM1,NFKBIA
SNORA11E,SNAI1,PPARA,PTEN,PECAM1
SPP1,SOD2,PPARG,PTGS2,PIK3CA
STAT3,SRC,PPIG,PTH,PMS2
TBXT,STAT3,PROM1,PTPRC,PPARG
TERT,TERT,PTEN,REN,PROM1
TET2,TGFB1,PTGS2,RPS6KB1,PTEN
TGFB1,TNF,PTPRC,SETD2,PTGS2
TNF,TOP2A,SERPINA1,SNAI1,PTPRC
TNFRSF11A,TP53,SNAI1,SRC,SMAD4
TNFRSF11B,TP63,SRC,SST,SNAI1
TNFSF11,TWIST1,SREBF1,STAT3,SRC
TP53,VDR,SST,TFE3,STAT3
TWIST1,VEGFA,STAT3,TNF,TLR4
VDR,XRCC1,TERT,TP53,TNF
VEGFA,XRCC3,TLR4,TSC2,TOP1
WT1,YAP1,TNF,VHL,TP53
ZFP36L1,ZEB1,TP53,WT1,TYMS
